date,Iprec
240119871300,0.175
250119870100,0.04167
250119871300,0
260119870100,0
260119871300,0
270119870100,0.16667
270119871300,0
280119870100,0
280119871300,0
290119870100,0.04167
290119871300,0
300119870100,0.10833
300119871300,0
310119870100,0
310119871300,0
10219870100,0
10219871300,0
20219870100,0
20219871300,0
30219870100,0
30219871300,0
40219870100,0
40219871300,0
50219870100,0
50219871300,0
60219870100,0
60219871300,0
70219870100,0.325
70219871300,1.05833
80219870100,0.75833
80219871300,0.14167
90219870100,0.40833
90219871300,0.03333
100219870100,0
100219871300,0
110219870100,0.24167
110219871300,0.25833
120219870100,0.21667
120219871300,0.26667
130219870100,0.24167
130219871300,0.08333
140219870100,1.04167
140219871300,0.53333
150219870100,0.325
150219871300,0.19167
160219870100,0.34167
160219871300,0.175
170219870100,0.04167
170219871300,0.2
180219870100,0.275
180219871300,0.225
190219870100,0.09167
190219871300,0.06667
200219870100,0.5
200219871300,0.31667
210219870100,0.10833
210219871300,0.04167
220219870100,0
220219871300,0
230219870100,0.175
230219871300,0.45833
240219870100,0.33333
240219871300,0
250219870100,0
250219871300,0
260219870100,0
260219871300,0.09167
270219870100,0.86667
270219871300,0.425
280219870100,0.55
280219871300,1.55833
10319870100,2.075
10319871300,1.15
20319870100,1.06667
20319871300,1.21667
30319870100,1.21667
30319871300,0.56667
40319870100,0
40319871300,0
50319870100,0
50319871300,0.10833
60319870100,0
60319871300,0
70319870100,0
70319871300,0
80319870100,0
80319871300,0
90319870100,0
90319871300,0
100319870100,0.01667
100319871300,0
110319870100,0
110319871300,0
120319870100,0
120319871300,0
130319870100,0
130319871300,0
140319870100,0
140319871300,0.11667
150319870100,0.175
150319871300,0
160319870100,0.08333
160319871300,0.41667
170319870100,0.25
170319871300,0.1
180319870100,0.43333
180319871300,0.04167
190319870100,0.13333
190319871300,0.50833
200319870100,0.96667
200319871300,0.49167
210319870100,0.33333
210319871300,0.01667
220319870100,0.04167
220319871300,0.01667
230319870100,0.26667
230319871300,0.05
240319870100,0.03333
240319871300,0.03333
250319870100,0.01667
250319871300,0
260319870100,0.01667
260319871300,0.29167
270319870100,0.26667
270319871300,0.01667
280319870100,0.31667
280319871300,0.75
290319870100,1.525
290319871300,0.39167
300319870100,0.65833
300319871300,0.9
310319870100,1.5
310319871300,0.99167
10419870100,0.43333
10419871300,0
20419870100,0
20419871300,0.08333
30419870100,0.1
30419871300,0.08333
40419870100,0.5
40419871300,0.10833
50419870100,0.45833
50419871300,0.04167
60419870100,0.175
60419871300,0
70419870100,0
70419871300,0
80419870100,0
80419871300,0.025
90419870100,0.125
90419871300,0
100419870100,0.30833
100419871300,0.78333
110419870100,1.475
110419871300,0.2
120419870100,0
120419871300,0.275
130419870100,1
130419871300,0.25
140419870100,0.48333
140419871300,0.3
150419870100,0.23333
150419871300,0.25
160419870100,0.21667
160419871300,0.025
170419870100,0.01667
170419871300,0
180419870100,0
180419871300,0
190419870100,0
190419871300,0
200419870100,0
200419871300,0.16667
210419870100,0.85
210419871300,0.84167
220419870100,0.51667
220419871300,0.1
230419870100,0
230419871300,0
240419870100,0
240419871300,0
250419870100,0
250419871300,0
260419870100,0
260419871300,0.11667
270419870100,0
270419871300,0.68333
280419870100,0.06667
280419871300,0
290419870100,0
290419871300,0
300419870100,0
300419871300,0
10519870100,0.01667
10519871300,0
20519870100,0
20519871300,0
30519870100,0.06667
30519871300,0.15
40519870100,1.31667
40519871300,1.94167
50519870100,0.75
50519871300,0.06667
60519870100,0.34167
60519871300,1.11667
70519870100,0.63333
70519871300,0.34167
80519870100,0.69167
80519871300,0.13333
90519870100,0.075
90519871300,0
100519870100,0
100519871300,0
110519870100,0.5
110519871300,0.08333
120519870100,0.15833
